dataset,sample_size,split,n_runs,vanilla_accuracy_mean,vanilla_accuracy_std,random_aug_accuracy_mean,random_aug_accuracy_std,error_driven_accuracy_mean,error_driven_accuracy_std,random_aug_vs_vanilla_accuracy_delta,error_driven_vs_vanilla_accuracy_delta,error_driven_vs_random_aug_accuracy_delta,vanilla_macro_f1_mean,vanilla_macro_f1_std,random_aug_macro_f1_mean,random_aug_macro_f1_std,error_driven_macro_f1_mean,error_driven_macro_f1_std,random_aug_vs_vanilla_macro_f1_delta,error_driven_vs_vanilla_macro_f1_delta,error_driven_vs_random_aug_macro_f1_delta
ag_news,4,,5,78.4342105263158,1.5796325267819686,76.23421052631579,1.0358614785626874,73.87105263157895,1.6951076335137738,-2.200000000000003,-4.563157894736847,-2.363157894736844,77.94295711443463,1.68747399901354,75.45533943046273,1.380918435222769,73.13911426925868,2.0049551311001053,-2.487617683971905,-4.80384284517595,-2.316225161204045
ag_news,8,,5,83.73157894736842,0.8436252729192241,81.69736842105263,1.4625401005464354,82.40263157894738,1.2912380517825441,-2.034210526315789,-1.3289473684210407,0.7052631578947484,83.59883884133528,0.9677529992848029,81.38258263645154,1.7676104072548835,82.0586020621859,1.5631406031769237,-2.2162562048837344,-1.5402367791493816,0.6760194257343528
ag_news,16,,5,85.37894736842105,0.7935966899951066,84.15526315789474,1.203404392946933,85.15,0.7491107378131269,-1.223684210526315,-0.22894736842104635,0.9947368421052687,85.30512178850944,0.8286244710418378,84.00546888761805,1.25779339677799,85.04777683821862,0.7832475662555395,-1.2996529008913882,-0.2573449502908147,1.0423079506005735
sst2,4,,10,59.72542559033498,3.4391119213242916,58.00658978583196,7.358869658970237,54.06370126304228,4.615990638473486,-1.7188358045030157,-5.661724327292696,-3.94288852278968,59.22510665026077,3.5241969517289715,51.56648007445335,13.674615924364561,45.2990887215785,11.573037007858884,-7.658626575807418,-13.92601792868227,-6.267391352874853
sst2,8,,10,63.70126304228446,4.863817840650234,65.7056562328391,5.5059453360759,60.92257001647447,3.7222767273426354,2.0043931905546444,-2.778693025809993,-4.783086216364637,63.25444901564621,5.096188093045884,64.07610752015967,8.131124462461573,58.67668301255417,6.2689758023116635,0.8216585045134579,-4.577766003092037,-5.399424507605495
sst2,16,,10,68.97858319604613,3.579867228457079,71.25755079626579,2.624218974651254,67.52883031301482,4.068567304266253,2.2789676002196586,-1.4497528830313087,-3.7287204832509673,68.87794182889246,3.603421637774223,71.10881359812375,2.7031988248790975,67.2449368526185,4.108801888996298,2.2308717692312854,-1.6330049762739662,-3.8638767455052516
trec,4,,5,62.800000000000004,8.433267456923208,48.12,8.0032493401118,68.32,4.66819022748645,-14.680000000000007,5.519999999999989,20.199999999999996,52.94266514934356,2.51035959586185,45.60361676075565,2.0881342205377518,55.895953714114796,3.6248075204015127,-7.339048388587912,2.953288564771235,10.292336953359147
trec,8,,5,76.04,5.361716143176549,57.56,11.129600172512935,76.60000000000001,7.00428440313498,-18.480000000000004,0.5600000000000023,19.040000000000006,63.09027388101746,3.910193804859109,57.2144305640399,7.147357805515982,65.40750705348499,5.379028714965471,-5.875843316977559,2.3172331724675317,8.19307648944509
trec,16,,5,82.6,2.3108440016582654,78.6,4.409081537009718,83.8,3.2062439083762815,-4.0,1.2000000000000028,5.200000000000003,67.70493773395472,2.435883537509731,67.13151614870952,2.8191682683975086,70.72798344499935,3.6083333885344624,-0.5734215852451996,3.023045711044631,3.5964672962898305
