dataset,shot,method,metric,mean,std
ag_news,4,augmented,accuracy,59.368421052631575,5.8750773555348195
ag_news,4,augmented,macro_f1,58.911910988065095,5.832028532071948
ag_news,4,random_aug,accuracy,56.72368421052632,7.408560781500385
ag_news,4,random_aug,macro_f1,55.9935515463238,7.065243013548905
ag_news,4,vanilla,accuracy,78.06842105263158,1.699137185313543
ag_news,4,vanilla,macro_f1,77.59323360321395,1.8898210441020384
ag_news,8,augmented,accuracy,74.28421052631579,2.3657075098499987
ag_news,8,augmented,macro_f1,73.69116029431953,2.5318185629291583
ag_news,8,random_aug,accuracy,71.43684210526317,4.936985184774351
ag_news,8,random_aug,macro_f1,71.09828311787246,4.992251087692263
ag_news,8,vanilla,accuracy,83.71578947368421,0.8529624926398668
ag_news,8,vanilla,macro_f1,83.60682746585323,0.9795095067779448
ag_news,16,augmented,accuracy,82.0578947368421,1.5527876817155448
ag_news,16,augmented,macro_f1,81.88837616288642,1.6339993676342603
ag_news,16,random_aug,accuracy,82.56052631578947,0.903287317435228
ag_news,16,random_aug,macro_f1,82.44381417899532,0.9409668833636216
ag_news,16,vanilla,accuracy,85.55,0.9125737552251656
ag_news,16,vanilla,macro_f1,85.48079933557086,0.9484511370654739
sst2,4,augmented,accuracy,63.50356946732564,1.5001917575874293
sst2,4,augmented,macro_f1,63.30253834955031,1.6302945114900245
sst2,4,random_aug,accuracy,65.7001647446458,4.2792401926191665
sst2,4,random_aug,macro_f1,64.42090960940999,6.173863197493638
sst2,4,vanilla,accuracy,58.5612300933553,4.6880072761655205
sst2,4,vanilla,macro_f1,58.459301056751166,4.777602594703203
sst2,8,augmented,accuracy,66.52388797364085,2.630359789169016
sst2,8,augmented,macro_f1,65.93632641640245,2.8400344844867633
sst2,8,random_aug,accuracy,68.68753432180121,5.448956658681734
sst2,8,random_aug,macro_f1,67.8498668721749,7.01208118361462
sst2,8,vanilla,accuracy,64.2284459088413,5.173902873739628
sst2,8,vanilla,macro_f1,63.89647592102506,5.3442544311978315
sst2,16,augmented,accuracy,68.73146622734761,1.5998996362113218
sst2,16,augmented,macro_f1,68.64249270423477,1.5554438057708992
sst2,16,random_aug,accuracy,70.55464030752334,1.3921761973377962
sst2,16,random_aug,macro_f1,70.39461116612004,1.5183836045964854
sst2,16,vanilla,accuracy,69.18176825919824,3.5655366352419207
sst2,16,vanilla,macro_f1,69.138086197342,3.574230614402167
trec,4,augmented,accuracy,71.44,4.327585932133524
trec,4,augmented,macro_f1,53.304450741145395,2.1900320469527226
trec,4,random_aug,accuracy,49.919999999999995,9.128636261786312
trec,4,random_aug,macro_f1,43.31375913433595,4.176460194838887
trec,4,vanilla,accuracy,61.04,8.674560507599216
trec,4,vanilla,macro_f1,50.33436008159725,1.572080534582817
trec,8,augmented,accuracy,78.88,1.652876280911548
trec,8,augmented,macro_f1,63.01478040405405,4.464764384932444
trec,8,random_aug,accuracy,64.24,6.345707210390347
trec,8,random_aug,macro_f1,56.76633748337128,4.921269814917144
trec,8,vanilla,accuracy,73.04,4.541805808266137
trec,8,vanilla,macro_f1,62.05428951292284,1.9241250507452723
trec,16,augmented,accuracy,82.72,1.700588133558499
trec,16,augmented,macro_f1,67.60580868391106,2.179443945786506
trec,16,random_aug,accuracy,76.96,4.0159681273635695
trec,16,random_aug,macro_f1,65.4020175048585,3.569248219643482
trec,16,vanilla,accuracy,80.24000000000001,1.4099645385611597
trec,16,vanilla,macro_f1,67.3204540412544,2.747833375751519
