dataset,sample_size,split,method,n_runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,delta_error_driven_vs_vanilla,delta_random_aug_vs_vanilla,delta_error_driven_vs_random_aug
ag_news,4,,error_driven,5,73.87105263157895,1.6951076335137738,73.13911426925868,2.0049551311001053,-4.563157894736847,-2.200000000000003,-2.363157894736844
ag_news,4,,random_aug,5,76.23421052631579,1.0358614785626874,75.45533943046273,1.380918435222769,-4.563157894736847,-2.200000000000003,-2.363157894736844
ag_news,4,,vanilla,5,78.4342105263158,1.5796325267819686,77.94295711443463,1.68747399901354,-4.563157894736847,-2.200000000000003,-2.363157894736844
ag_news,8,,error_driven,5,82.40263157894738,1.2912380517825441,82.0586020621859,1.5631406031769237,-1.3289473684210407,-2.034210526315789,0.7052631578947484
ag_news,8,,random_aug,5,81.69736842105263,1.4625401005464354,81.38258263645154,1.7676104072548835,-1.3289473684210407,-2.034210526315789,0.7052631578947484
ag_news,8,,vanilla,5,83.73157894736842,0.8436252729192241,83.59883884133528,0.9677529992848029,-1.3289473684210407,-2.034210526315789,0.7052631578947484
ag_news,16,,error_driven,5,85.15,0.7491107378131269,85.04777683821862,0.7832475662555395,-0.22894736842104635,-1.223684210526315,0.9947368421052687
ag_news,16,,random_aug,5,84.15526315789474,1.203404392946933,84.00546888761805,1.25779339677799,-0.22894736842104635,-1.223684210526315,0.9947368421052687
ag_news,16,,vanilla,5,85.37894736842105,0.7935966899951066,85.30512178850944,0.8286244710418378,-0.22894736842104635,-1.223684210526315,0.9947368421052687
sst2,4,,error_driven,10,54.06370126304228,4.615990638473486,45.2990887215785,11.573037007858884,-5.661724327292696,-1.7188358045030157,-3.94288852278968
sst2,4,,random_aug,10,58.00658978583196,7.358869658970237,51.56648007445335,13.674615924364561,-5.661724327292696,-1.7188358045030157,-3.94288852278968
sst2,4,,vanilla,10,59.72542559033498,3.4391119213242916,59.22510665026077,3.5241969517289715,-5.661724327292696,-1.7188358045030157,-3.94288852278968
sst2,8,,error_driven,10,60.92257001647447,3.7222767273426354,58.67668301255417,6.2689758023116635,-2.778693025809993,2.0043931905546444,-4.783086216364637
sst2,8,,random_aug,10,65.7056562328391,5.5059453360759,64.07610752015967,8.131124462461573,-2.778693025809993,2.0043931905546444,-4.783086216364637
sst2,8,,vanilla,10,63.70126304228446,4.863817840650234,63.25444901564621,5.096188093045884,-2.778693025809993,2.0043931905546444,-4.783086216364637
sst2,16,,error_driven,10,67.52883031301482,4.068567304266253,67.2449368526185,4.108801888996298,-1.4497528830313087,2.2789676002196586,-3.7287204832509673
sst2,16,,random_aug,10,71.25755079626579,2.624218974651254,71.10881359812375,2.7031988248790975,-1.4497528830313087,2.2789676002196586,-3.7287204832509673
sst2,16,,vanilla,10,68.97858319604613,3.579867228457079,68.87794182889246,3.603421637774223,-1.4497528830313087,2.2789676002196586,-3.7287204832509673
trec,4,,error_driven,5,68.32,4.66819022748645,55.895953714114796,3.6248075204015127,5.519999999999989,-14.680000000000007,20.199999999999996
trec,4,,random_aug,5,48.12,8.0032493401118,45.60361676075565,2.0881342205377518,5.519999999999989,-14.680000000000007,20.199999999999996
trec,4,,vanilla,5,62.800000000000004,8.433267456923208,52.94266514934356,2.51035959586185,5.519999999999989,-14.680000000000007,20.199999999999996
trec,8,,error_driven,5,76.60000000000001,7.00428440313498,65.40750705348499,5.379028714965471,0.5600000000000023,-18.480000000000004,19.040000000000006
trec,8,,random_aug,5,57.56,11.129600172512935,57.2144305640399,7.147357805515982,0.5600000000000023,-18.480000000000004,19.040000000000006
trec,8,,vanilla,5,76.04,5.361716143176549,63.09027388101746,3.910193804859109,0.5600000000000023,-18.480000000000004,19.040000000000006
trec,16,,error_driven,5,83.8,3.2062439083762815,70.72798344499935,3.6083333885344624,1.2000000000000028,-4.0,5.200000000000003
trec,16,,random_aug,5,78.6,4.409081537009718,67.13151614870952,2.8191682683975086,1.2000000000000028,-4.0,5.200000000000003
trec,16,,vanilla,5,82.6,2.3108440016582654,67.70493773395472,2.435883537509731,1.2000000000000028,-4.0,5.200000000000003
